,text,gold_values,predictions
0,"every potential twist is telegraphed well in advance , every performance respectably muted ; the movie itself seems to have been made under the influence of rohypnol .",neg,neg
1,a woman's pic directed with resonance by ilya chaiken .,pos,pos
2,"ringu is a disaster of a story , full of holes and completely lacking in chills . ignore the reputation , and ignore the film .",neg,neg
3,"does paint some memorable images . . . , but makhmalbaf keeps her distance from the character",neg,neg
4,all this turns out to be neither funny nor provocative - only dull .,neg,neg
5,the film virtually chokes on its own self-consciousness .,neg,neg
6,what makes the movie a comedy is the way it avoids the more serious emotions involved .,pos,pos
7,"this isn't a "" friday "" worth waiting for .",neg,neg
8,van wilder brings a whole new meaning to the phrase 'comedy gag . ' at least one scene is so disgusting that viewers may be hard pressed to retain their lunch .,neg,neg
9,"qutting may be a flawed film , but it is nothing if not sincere .",pos,neg
10,an unclassifiably awful study in self- and audience-abuse .,neg,neg
11,"the story , like life , refuses to be simple , and the result is a compelling slice of awkward emotions .",pos,pos
12,"though harris is affecting at times , he cannot overcome the sense that pumpkin is a mere plot pawn for two directors with far less endearing disabilities .",neg,neg
13,"some of it is clever , but it is never melodic",neg,neg
14,"parker probably thinks he's shaking up a classic the way kenneth branagh and baz luhrmann have , but this half-hearted messing-about just makes us miss wilde's still-contemporary play .",neg,neg
15,"no such thing is sort of a minimalist beauty and the beast , but in this case the beast should definitely get top billing . robert john burke as the monster horns in and steals the show .",neg,neg
16,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",pos,pos
17,there's no reason to miss interview with the assassi,pos,neg
18,"splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers' puppet strings .",neg,neg
19,don't expect any surprises in this checklist of teamwork cliches . . .,pos,neg
20,it's one long bore .,neg,neg
21,what the four feathers lacks is genuine sweep or feeling or even a character worth caring about .,neg,neg
22,manages to be sweet and wickedly satisfying at the same time .,pos,pos
23,"when your leading ladies are a couple of screen-eating dominatrixes like goldie hawn and susan sarandon at their raunchy best , even hokum goes down easily .",pos,pos
24,"blade ii merges bits and pieces from fighting games , wire fu , horror movies , mystery , james bond , wrestling , sci-fi and anime into one big bloody stew .",pos,pos
25,"tom shadyac has learned a bit more craft since directing adams , but he still lingers over every point until the slowest viewer grasps it .",neg,neg
26,"it's usually a bad sign when directors abandon their scripts and go where the moment takes them , but olympia , wash . , based filmmakers anne de marcken and marilyn freeman did just that and it's what makes their project so interesting .",pos,pos
27,"crudup's screen presence is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families .",neg,neg
28,"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .",neg,neg
29,"es divertida , visualmente espectacular y muy entretenida . simple y sencillamente te sorprenderá .",pos,pos
