entity	colour	bert	7.0
ash	grey	blue	4.0
banana	yellow	purple	8.0
beaver	brown	orange	3.0
blood	red	red	1.0
broccoli	green	pink	9.0
cardboard	brown	purple	6.0
carrot	orange	purple	3.0
cauliflower	white	pink	4.0
cello	brown	pink	10.0
chalk	white	purple	6.0
cherry	red	orange	6.0
cloud	white	purple	9.0
clover	green	purple	11.0
coal	black	purple	2.0
cockroach	brown	pink	2.0
coffee	brown	purple	9.0
corn	yellow	purple	9.0
cotton	white	purple	2.0
crow	black	purple	4.0
deer	brown	pink	8.0
dolphin	grey	purple	10.0
elephant	grey	orange	10.0
flour	white	purple	5.0
foam	white	pink	6.0
fog	grey	purple	8.0
forest	green	purple	9.0
froth	white	purple	8.0
garlic	white	purple	7.0
gold	yellow	yellow	1.0
gorilla	black	purple	5.0
grass	green	purple	9.0
lettuce	green	pink	3.0
mud	brown	purple	10.0
mustard	yellow	orange	5.0
parsley	green	orange	11.0
pig	pink	purple	3.0
salad	green	purple	11.0
sea	blue	blue	1.0
shadow	black	orange	4.0
silhouette	black	purple	4.0
sky	blue	blue	1.0
slate	grey	purple	7.0
snow	white	orange	5.0
soil	brown	purple	8.0
spinach	green	pink	9.0
strawberry	red	purple	5.0
swan	white	purple	7.0
tin	grey	purple	8.0
vinyl	black	pink	3.0
violin	brown	pink	8.0
weed	green	orange	11.0
wood	brown	blue	7.0
