entity	colour	vilbert	3.0
ash	grey	orange	11.0
banana	yellow	orange	2.0
beaver	brown	orange	3.0
blood	red	red	1.0
broccoli	green	green	1.0
cardboard	brown	orange	4.0
carrot	orange	orange	1.0
cauliflower	white	yellow	8.0
cello	brown	green	9.0
chalk	white	black	2.0
cherry	red	orange	6.0
cloud	white	purple	6.0
clover	green	green	1.0
coal	black	brown	4.0
cockroach	brown	yellow	6.0
coffee	brown	green	3.0
corn	yellow	orange	3.0
cotton	white	purple	2.0
crow	black	brown	3.0
deer	brown	brown	1.0
dolphin	grey	blue	5.0
elephant	grey	brown	4.0
flour	white	brown	2.0
foam	white	orange	2.0
fog	grey	grey	1.0
forest	green	green	1.0
froth	white	brown	8.0
garlic	white	green	7.0
gold	yellow	yellow	1.0
gorilla	black	grey	4.0
grass	green	green	1.0
lettuce	green	orange	2.0
mud	brown	grey	6.0
mustard	yellow	yellow	1.0
parsley	green	green	1.0
pig	pink	orange	3.0
salad	green	green	1.0
sea	blue	blue	1.0
shadow	black	grey	7.0
silhouette	black	white	3.0
sky	blue	blue	1.0
slate	grey	grey	1.0
snow	white	grey	2.0
soil	brown	green	2.0
spinach	green	orange	2.0
strawberry	red	orange	3.0
swan	white	green	5.0
tin	grey	yellow	6.0
vinyl	black	white	3.0
violin	brown	purple	6.0
weed	green	green	1.0
wood	brown	black	3.0
